,Star Name,Distance,Mass,Radius,Gravity
25,Gacrux,0088,2.3476340049961497e+121,1.9677381219071526e+37,0.058305519017766566
26,Bellatrix,0240,1.3459768295311255e+122,1.3586763222692244e+36,70.11637302474244
27,Elnath,0130,7.825446683320499e+121,9.838690609535765e+35,77.74069202368877
28,Miaplacidus,0110,5.477812678324349e+121,1.5929308605915047e+36,20.759992757536956
29,Alnilam,"2,000",5.008285877325119e+122,9.838690609535763e+36,4.975404289516081
30,Gamma Velorum,"01,100",1.4085804029976897e+122,1.4055272299336804e+36,68.56729036489348
31,Alnair,0101,6.260357346656399e+121,7.964654302957524e+35,94.90282403445465
32,Alioth,0081,4.538759076325889e+121,9.838690609535765e+35,45.08960137373948
33,Alnitak,01050,5.164794810991529e+122,4.685090766445602e+36,22.627205820414854
34,Dubhe,0120,6.651629680822423e+121,7.027636149668403e+36,1.2951599291146547
35,Mirfak,0590,1.3303259361644845e+122,1.5929308605915046e+37,0.5041712526830403
36,Wezen,"1,600",2.660651872328969e+122,4.685090766445601e+37,0.11656439362031894
37,Sargas,0270,8.921009218985369e+121,6.090617996379282e+36,2.3126245862715553
38,Kaus Australis,0140,5.477812678324349e+121,1.5929308605915047e+36,20.759992757536956
39,Avior,0630,1.4085804029976897e+122,3.045308998189641e+37,0.14606050018557193
40,Alkaid,0104,9.547044953651008e+121,7.964654302957524e+35,144.72680665254333
41,Menkalinan,081,3.740563514627199e+121,6.488850711527159e+35,85.43097080483021
42,Atria,0390,1.0955625356648699e+122,2.155141752564977e+37,0.22682941046987445
43,Alhena,0109,4.382250142659479e+121,7.730399764635244e+35,70.51915997124031
44,Peacock,0180,9.23402708631819e+121,1.1244217839469445e+36,70.23385645015132
45,Alsephina[2],0080,3.7562144079938396e+121,6.793381611346122e+35,78.26943965552645
46,Mirzam,0500,2.112870604496535e+122,2.342545383222801e+36,37.02633679704249
47,Polaris,0430,8.45148241798614e+121,9.135926994568924e+36,0.973736667903813
48,Alphard,0180,4.695268009992299e+121,1.1712726916114003e+37,0.32912299375148873
49,Mintaka,01200,3.7562144079938395e+122,3.865199882317621e+36,24.17799770442525
50,Scheat,0196,3.2866876069946095e+121,2.225418114061661e+37,0.0638188630543053
51,Almaaz,0653,2.3476340049961494e+122,3.2795635365119216e+37,0.20989986846395964
52,Rasalgethi,0360,4.382250142659479e+121,6.559127073023843e+37,0.009795327194984781
53,Tau Ceti,011.9,1.22546495060799e+121,2.0918930272179612e+35,269.29967110479345
54,Delta Pavonis,019.92,1.5510035326341226e+121,2.8579053675318174e+35,182.61269753187165
55,Ran,010.48,1.2833732560645617e+121,1.7334835835848726e+35,410.70254272616984
56,V382 Carinae,"08,900",3.1301786733281995e+122,1.1361345108630585e+38,0.023319728894426524
57,Eta Carinae,"07,500",1.5650893366641e+123,2.0637824826192877e+38,0.035336632665075154
58,Delta Cephei,0887,7.042902014988449e+121,1.0424326955341465e+37,0.6232603088337749
59,Mu Cephei,"06,000",3.0049715263950717e+122,2.2769541124925622e+38,0.005573726798954914
60,Titawin,044.25,1.9876634575634066e+121,3.466967167169745e+35,159.02202111653529
61,Rho Cassiopeiae,"08,154",3.4431965406610195e+122,2.2980370209415678e+38,0.006269914878211634
62,P Cygni,"05,545",4.695268009992299e+122,1.7803344912493286e+37,1.4245281931764575
63,VV Cephei,"04,900",2.8484625927286617e+122,2.4596726523839408e+38,0.004527617903459634
